Titre Amazon,Catégorie,Prix,Marque,Description,Caractéristiques techniques,Lien produit
Bêche à manche fibre de verre Ferroline TerraDig,Outils à main,"42,00 €",Ferroline,"Bêche à fer forgé et manche en fibre de verre, plus légère et plus résistante qu'un manche bois. Repose-pied élargi pour un appui confortable.","Fer acier forgé traité anti-corrosion | Manche fibre de verre | Longueur totale 115 cm | Largeur du fer 18 cm | Poids 2,1 kg | Garantie constructeur 10 ans",https://www.neogarden.fr/outils-a-main/beche-a-manche-fibre-de-verre-ferroline-terradig
Griffe de jardin ergonomique Ferroline Handy,Outils à main,"18,90 €",Ferroline,"Griffe à trois dents avec poignée ergonomique inclinée, réduisant la contrainte sur le poignet lors du désherbage et de l'aération des massifs.",3 dents acier inoxydable | Poignée inclinée antidérapante | Longueur 32 cm | Poids 210 g | Garantie constructeur 5 ans,https://www.neogarden.fr/outils-a-main/griffe-de-jardin-ergonomique-ferroline-handy
Set 5 outils de plantation Ferroline Starter,Outils à main,"54,90 €",Ferroline,"Coffret de cinq outils à main pour la plantation : transplantoir, transplantoir étroit, griffe, binette et couteau désherbeur. Livré en sacoche de rangement.","5 outils acier inoxydable | Manches bois de frêne certifié | Sacoche toile incluse | Poids total 1,4 kg | Garantie constructeur 5 ans",https://www.neogarden.fr/outils-a-main/set-5-outils-de-plantation-ferroline-starter
Brouette de jardin Ferroline Cargo 100 L,Manutention,"89,00 €",Ferroline,Brouette à caisse acier de 100 litres avec roue gonflable et châssis renforcé. Charge utile de 120 kg.,Volume 100 L | Charge utile 120 kg | Caisse acier peint époxy | Roue gonflable 4.00-8 | Poids à vide 13 kg | Garantie constructeur 2 ans,https://www.neogarden.fr/manutention/brouette-de-jardin-ferroline-cargo-100-l
Chariot de jardin pliable Terraluxe FoldCart,Manutention,"64,90 €",Terraluxe,"Chariot pliable à quatre roues avec toile résistante, se repliant à plat pour le rangement. Pratique pour transporter terreau, plants et outils.","Charge utile 80 kg | Toile polyester 600D | Dimensions dépliées 90x50x55 cm | Pliage à plat 12 cm | Poids 7,2 kg | Garantie constructeur 2 ans",https://www.neogarden.fr/manutention/chariot-de-jardin-pliable-terraluxe-foldcart
Terreau universel BotaniK 70 L,Sols et engrais,"16,90 €",BotaniK,"Terreau universel enrichi pour plantations en pleine terre, jardinières et rempotage. Structure aérée limitant le tassement.","Volume 70 L | pH 6,0-7,0 | Enrichi engrais longue durée 3 mois | Utilisable en jardinage biologique | Sac refermable",https://www.neogarden.fr/sols-et-engrais/terreau-universel-botanik-70-l
Engrais organique gazon BotaniK GreenBoost 10 kg,Sols et engrais,"29,90 €",BotaniK,"Engrais organique granulé à diffusion progressive pour gazon, favorisant la densité et la couleur sans à-coup de croissance. Application au printemps et en fin d'été.",Poids 10 kg | Couvre 250 m2 | NPK 9-3-5 | Diffusion progressive 3 mois | Utilisable en jardinage biologique | Sans risque pour animaux après arrosage,https://www.neogarden.fr/sols-et-engrais/engrais-organique-gazon-botanik-greenboost-10-kg
Compost maison BotaniK Activateur 3 kg,Sols et engrais,"14,50 €",BotaniK,Activateur de compost accélérant la décomposition des déchets verts et limitant les odeurs. À saupoudrer par couches successives.,Poids 3 kg | Traite 1 m3 de compost | Origine 100% végétale | Utilisable en jardinage biologique,https://www.neogarden.fr/sols-et-engrais/compost-maison-botanik-activateur-3-kg
Composteur bois Terraluxe EcoBin 400 L,Sols et engrais,"99,00 €",Terraluxe,"Composteur en bois de pin traité classe 3, à lames amovibles facilitant le retournement et le prélèvement du compost mûr. Montage sans outil.",Volume 400 L | Pin traité classe 3 | Dimensions 80x80x70 cm | Lames avant amovibles | Montage sans outil | Poids 22 kg | Garantie constructeur 5 ans,https://www.neogarden.fr/sols-et-engrais/composteur-bois-terraluxe-ecobin-400-l
Serre de jardin Solaris Garden Vitis 6 m2,Structures,"449,00 €",Solaris Garden,Serre de jardin à structure aluminium et panneaux polycarbonate alvéolaire de 4 mm. Porte coulissante et lucarne d'aération réglable. Article volumineux livré sur rendez-vous.,Surface 6 m2 | Dimensions 246x196x197 cm | Structure aluminium anodisé | Polycarbonate alvéolaire 4 mm | Porte coulissante | 1 lucarne d'aération | Poids 48 kg | Garantie constructeur 10 ans structure,https://www.neogarden.fr/structures/serre-de-jardin-solaris-garden-vitis-6-m2
Abri de jardin métal Solaris Garden Steel 5 m2,Structures,"579,00 €",Solaris Garden,"Abri de jardin en acier galvanisé prélaqué, avec double porte coulissante et toit à deux pentes. Livré en kit sur rendez-vous, montage à deux personnes recommandé.",Surface 5 m2 | Dimensions 257x198x200 cm | Acier galvanisé prélaqué | Double porte coulissante | Ancrage au sol inclus | Poids 92 kg | Garantie anti-corrosion 15 ans,https://www.neogarden.fr/structures/abri-de-jardin-metal-solaris-garden-steel-5-m2
Salon de jardin résine 4 places Terraluxe Riva,Mobilier,"329,00 €",Terraluxe,"Salon de jardin quatre places en résine tressée sur structure acier, comprenant un canapé deux places, deux fauteuils et une table basse. Coussins déhoussables inclus.",4 places | Résine tressée traitée anti-UV | Structure acier époxy | Coussins déhoussables lavables | Table basse plateau verre trempé | Poids total 34 kg | Garantie constructeur 2 ans,https://www.neogarden.fr/mobilier/salon-de-jardin-resine-4-places-terraluxe-riva
Plancha à gaz Terraluxe Cook 2 brûleurs,Mobilier,"199,00 €",Terraluxe,Plancha à gaz deux brûleurs indépendants avec plaque émaillée et bac de récupération des graisses amovible. Allumage piézoélectrique.,2 brûleurs 2x3 kW | Plaque émaillée 60x38 cm | Allumage piézoélectrique | Bac récupérateur amovible | Détendeur non fourni | Poids 16 kg | Garantie constructeur 2 ans,https://www.neogarden.fr/mobilier/plancha-a-gaz-terraluxe-cook-2-bruleurs
Plants d'aromatiques bio - lot de 6 godets,Plantes,"21,90 €",BotaniK,"Assortiment de six plants aromatiques issus de l'agriculture biologique : basilic, thym, romarin, persil, ciboulette et menthe. Expédié du lundi au mercredi uniquement.",6 godets de 9 cm | Issus de l'agriculture biologique | Expédition lundi à mercredi | Garantie de reprise 30 jours | Plantation de mars à septembre,https://www.neogarden.fr/plantes/plants-d-aromatiques-bio-lot-de-6-godets
Bulbes de tulipes mélange - sachet de 50,Plantes,"18,50 €",BotaniK,"Mélange de cinquante bulbes de tulipes de variétés et coloris assortis, calibre 11/12. Plantation d'octobre à décembre pour une floraison d'avril à mai.",50 bulbes calibre 11/12 | Hauteur à floraison 40-55 cm | Plantation octobre à décembre | Floraison avril à mai | Exposition ensoleillée à mi-ombre,https://www.neogarden.fr/plantes/bulbes-de-tulipes-melange-sachet-de-50
Rosier buisson parfumé Verdania Rouge Velours,Plantes,"24,90 €",Verdania,"Rosier buisson à grandes fleurs rouge velours très parfumées, remontant de juin aux premières gelées. Livré en conteneur de 3 litres. Expédié du lundi au mercredi.",Conteneur 3 L | Hauteur adulte 80-100 cm | Floraison remontante juin à octobre | Exposition ensoleillée | Rusticité -20°C | Garantie de reprise 30 jours,https://www.neogarden.fr/plantes/rosier-buisson-parfume-verdania-rouge-velours
Filet de protection anti-oiseaux BotaniK 5x4 m,Protection,"22,90 €",BotaniK,"Filet à maille fine protégeant fruitiers et potager des oiseaux, sans les blesser. Livré avec sardines de fixation.",Dimensions 5x4 m | Maille 15x15 mm | Polyéthylène traité anti-UV | 12 sardines incluses | Réutilisable | Durée de vie estimée 5 saisons,https://www.neogarden.fr/protection/filet-de-protection-anti-oiseaux-botanik-5x4-m
Voile d'hivernage BotaniK 10x2 m,Protection,"17,50 €",BotaniK,Voile d'hivernage non tissé protégeant les plantes sensibles du gel jusqu'à -6°C tout en laissant passer l'air et la lumière.,Dimensions 10x2 m | Grammage 30 g/m2 | Protection jusqu'à -6°C | Perméable à l'air et à l'eau | Réutilisable | Lien de fixation inclus,https://www.neogarden.fr/protection/voile-d-hivernage-botanik-10x2-m
Gants de jardinage cuir Ferroline GripPro,Protection,"19,90 €",Ferroline,Gants de jardinage en cuir de bovin avec renfort paume et manchette longue protégeant l'avant-bras lors de la taille des rosiers et ronciers.,Cuir de bovin | Manchette 12 cm | Tailles 8 à 11 | Renfort paume et pouce | Norme EN 388 | Lavables à 30°C,https://www.neogarden.fr/protection/gants-de-jardinage-cuir-ferroline-grippro
Broyeur de végétaux Torvald ShredMax 2500,Entretien,"279,00 €",Torvald,"Broyeur de végétaux électrique à couteaux, réduisant branchages jusqu'à 42 mm en copeaux réutilisables en paillage. Bac collecteur de 50 litres.",Puissance 2500 W | Diamètre de branche max 42 mm | Bac collecteur 50 L | Système à couteaux | Sécurité anti-redémarrage | Poids 24 kg | Garantie constructeur 3 ans,https://www.neogarden.fr/entretien/broyeur-de-vegetaux-torvald-shredmax-2500
Souffleur aspirateur Torvald AirLeaf 3000,Entretien,"129,00 €",Torvald,"Souffleur aspirateur broyeur électrique trois-en-un avec variateur de vitesse, sac de collecte de 45 litres et harnais de portage.","Puissance 3000 W | Vitesse d'air 270 km/h | Sac 45 L | Ratio de broyage 10:1 | Variateur de vitesse | Poids 4,6 kg | Garantie constructeur 2 ans",https://www.neogarden.fr/entretien/souffleur-aspirateur-torvald-airleaf-3000
Scarificateur électrique Torvald AirRoot 1500,Entretien,"169,00 €",Torvald,Scarificateur électrique à rouleau de lames pour éliminer la mousse et le feutre du gazon. Bac de ramassage de 45 litres et quatre profondeurs de travail.,Puissance 1500 W | Largeur de travail 36 cm | 4 profondeurs -12 à +8 mm | Bac 45 L | Rouleau à 20 lames | Poids 11 kg | Garantie constructeur 2 ans,https://www.neogarden.fr/entretien/scarificateur-electrique-torvald-airroot-1500
Nichoir à mésanges bois FSC Terraluxe,Décoration,"26,90 €",Terraluxe,"Nichoir en bois FSC pour mésanges bleues et charbonnières, avec trou d'envol de 28 mm et façade ouvrante facilitant le nettoyage annuel.","Bois FSC non traité | Trou d'envol 28 mm | Dimensions 15x15x25 cm | Façade ouvrante | Crochet de fixation inclus | Poids 1,1 kg",https://www.neogarden.fr/decoration/nichoir-a-mesanges-bois-fsc-terraluxe
Guirlande solaire extérieure Solaris Garden 10 m,Décoration,"34,90 €",Solaris Garden,"Guirlande lumineuse solaire de dix mètres avec vingt ampoules LED style rétro. Allumage automatique au crépuscule, huit modes d'éclairage.",Longueur 10 m | 20 ampoules LED | Panneau solaire intégré | Autonomie 8 h | 8 modes d'éclairage | Indice IP65 | Détection crépusculaire automatique | Garantie constructeur 2 ans,https://www.neogarden.fr/decoration/guirlande-solaire-exterieure-solaris-garden-10-m
Bordure de jardin flexible Terraluxe 10 m,Décoration,"38,00 €",Terraluxe,"Bordure de jardin flexible en polyéthylène recyclé pour délimiter massifs et allées, y compris sur tracés courbes. Livrée avec piquets d'ancrage.",Longueur 10 m | Hauteur 15 cm | Polyéthylène recyclé | 30 piquets d'ancrage inclus | Rayon de courbure min 30 cm | Garantie constructeur 5 ans,https://www.neogarden.fr/decoration/bordure-de-jardin-flexible-terraluxe-10-m
Carte cadeau NeoGarden 50 €,Cartes cadeaux,"50,00 €",NeoGarden,Carte cadeau numérique valable sur l'ensemble du catalogue NeoGarden. Envoyée par e-mail sous une heure après la commande.,Montant 50 € | Format numérique envoyé par e-mail | Validité 24 mois | Utilisable en plusieurs fois | Non remboursable et non échangeable,https://www.neogarden.fr/cartes-cadeaux/carte-cadeau-neogarden-50
