Matricule,Type_Contrat,Service,Type_Absence,Date_Debut,Date_Fin,Duree_Jours,Valide,Commentaire_RH
20a8323e4291,alternant,Recouvrement,CP,17.03.2024,21/03/2024,5,O,En attente validation
20a8323e4291,alternant,Recouvrement,Congé Payé,04/19/2024,27/04/24,95,OUI,
20a8323e4291,alternant,Recouvrement,rtt,18/03/2024,18-03-2024,1,OUI,
20a8323e4291,Alternant,Recouvrement,rtt,28.01.2024,28-01-2024,1,N,
20a8323e4291,Alternant,Recouvrement,Congé Payé,02-01-2024,2024-01-11,10,O,
20a8323e4291,alternant,Recouvrement,Congé Payé,2024-04-22,04/26/2024,5,1,A régulariser
20a8323e4291,Alternant,Recouvrement,RTT,02.01.2024,02-01-2024,1,OUI,RAS
20a8323e4291,alternant,Recouvrement,rtt,10/06/2024,10.06.2024,1,N,RAS
20a8323e4291,alternant,Recouvrement,MALADIE,10/03/2024,10.03.2024,1,1,
20a8323e4291,alternant,Recouvrement,CP,25.02.2024,03-03-2024,8,N,
20a8323e4291,alternant,Recouvrement,CP,05.03.2024,14.03.2024,10,N,A régulariser
20a8323e4291,Alternant,Recouvrement,Maladie,20/04/2024,21.04.2024,2,N,URGENT
20a8323e4291,Alternant,,Congé Payé,26/05/24,02-06-2024,8,OUI,En attente validation
20a8323e4291,alternant,Recouvrement,RTT,31/01/2024,31/01/24,1,N,Certificat fourni
20a8323e4291,Alternant,Recouvrement,RTT,24/03/2024,24.03.2024,1,0,A régulariser
20a8323e4291,Alternant,Recouvrement,Maladie,01-01-2024,03-01-2024,3,O,En attente validation
20a8323e4291,Alternant,Recouvrement,MALADIE,04/21/2024,22/04/2024,2,0,Certificat fourni
20a8323e4291,alternant,Recouvrement,rtt,24/02/24,24/02/24,1,O,A régulariser
20a8323e4291,Alternant,Recouvrement,CP,2024-05-29,2024-05-28,7,0,RAS
20a8323e4291,Alternant,Recouvrement,RTT,25/03/2024,25-03-2024,1,0,En attente validation
20a8323e4291,alternant,Recouvrement,FORMATION,05/26/2024,2024-05-27,2,N,RAS
20a8323e4291,alternant,Recouvrement,RTT,04/22/2024,2024-04-22,1,NON,En attente validation
20a8323e4291,alternant,Recouvrement,CONGE_PAYE,14.05.2024,2024-05-22,9,Y,Certificat fourni
20a8323e4291,Alternant,Recouvrement,Formation,17/05/2024,21-05-2024,5,0,En attente validation
20a8323e4291,Alternant,Recouvrement,rtt,16/03/24,16/03/2024,1,O,En attente validation
38488e69482b,cdi,Recouvrement,rtt,2026-03-24,24/03/26,1,0,
38488e69482b,CDI,Recouvrement,CONGE_PAYE,04/22/2025,04/27/2025,6,O,A régulariser
38488e69482b,CDI,Recouvrement,Congé Payé,29-01-2025,06.02.2025,9,O,A régulariser
38488e69482b,cdi,Recouvrement,Congé Payé,14/06/2025,21-06-2025,95,OUI,A régulariser
38488e69482b,cdi,Recouvrement,CP,04/30/2026,06.05.2026,7,O,Certificat fourni
38488e69482b,CDI,Recouvrement,Congé Payé,05-05-2025,09.05.2025,5,0,URGENT
38488e69482b,CDI,Recouvrement,Maladie,2024-10-02,06-10-2024,5,OUI,RAS
38488e69482b,CDI,Recouvrement,MALADIE,04.08.2025,05-08-2025,2,NON,Certificat fourni
38488e69482b,cdi,Recouvrement,Maladie,25/10/2025,25.10.2025,1,0,
38488e69482b,cdi,Recouvrement,CONGE_PAYE,25-03-2026,29.03.2026,5,0,Validé manager
38488e69482b,CDI,Recouvrement,CP,29-01-2026,02.02.2026,5,0,A régulariser
38488e69482b,cdi,Recouvrement,RTT,17/02/2026,17.02.2026,1,N,
38488e69482b,CDI,Recouvrement,CONGE_PAYE,26/12/25,2026-01-01,7,0,A régulariser
38488e69482b,cdi,Recouvrement,CP,21-08-2025,27.08.2025,7,NON,Validé manager
38488e69482b,cdi,Recouvrement,Congé Payé,06.06.2026,06/15/2026,10,OUI,RAS
38488e69482b,CDI,Recouvrement,MALADIE,31-01-2024,03.02.2024,4,N,Certificat fourni
38488e69482b,cdi,Recouvrement,rtt,25/06/24,25/06/2024,1,1,
38488e69482b,CDI,Recouvrement,RTT,2025-06-26,26/06/2025,1,0,URGENT
38488e69482b,CDI,Recouvrement,RTT,2025-05-27,27/05/2025,1,O,Certificat fourni
38488e69482b,cdi,Recouvrement,RTT,28/05/2026,28-05-2026,1,Y,A régulariser
38488e69482b,CDI,Recouvrement,Congé Payé,06-09-2025,2025-09-15,10,NON,RAS
38488e69482b,cdi,Recouvrement,Maladie,01-03-2026,04-03-2026,4,OUI,Certificat fourni
38488e69482b,CDI,Recouvrement,CONGE_PAYE,03-05-2025,12/05/2025,10,1,En attente validation
38488e69482b,cdi,Recouvrement,Formation CFA,30/05/26,01.06.2026,3,Y,Certificat fourni
38488e69482b,cdi,Recouvrement,Congé Payé,01/03/2025,07/03/2025,7,0,
38488e69482b,CDI,Recouvrement,RTT,28-05-2024,28.05.2024,-1,OUI,Validé manager
b0d111d6b116,PRESTATAIRE,Conformité KYC,Formation CFA,26-02-2026,01/03/2026,4,O,En attente validation
b0d111d6b116,Prestataire,Conformité KYC,Congé Payé,01-08-2025,08.08.2025,8,N,En attente validation
b0d111d6b116,Prestataire,Conformité KYC,FORMATION,01/07/2025,02.07.2025,2,0,Validé manager
b0d111d6b116,Prestataire,Conformité KYC,RTT,25/03/2024,25/03/24,1,Y,Certificat fourni
b0d111d6b116,PRESTATAIRE,Conformité KYC,Maladie,26/04/26,2026-04-28,3,1,URGENT
b0d111d6b116,PRESTATAIRE,Conformité KYC,Maladie,2026-03-03,04/03/2026,2,OUI,
b0d111d6b116,PRESTATAIRE,Conformité KYC,MALADIE,18/03/2026,21-03-2026,4,NON,RAS
b0d111d6b116,PRESTATAIRE,Conformité KYC,Maladie,2025-04-26,04/26/2025,1,N,A régulariser
b0d111d6b116,Prestataire,Conformité KYC,RTT,04/27/2025,27/04/25,1,OUI,RAS
b0d111d6b116,Prestataire,Conformité KYC,Congé Payé,08-05-2026,12-05-2026,5,O,
b0d111d6b116,Prestataire,Conformité KYC,CP,2025-09-20,29.09.2025,10,O,
b0d111d6b116,Prestataire,Conformité KYC,RTT,2025-04-26,26-04-2025,1,0,En attente validation
b0d111d6b116,Prestataire,Conformité KYC,MALADIE,08-03-2026,2026-03-08,1,NON,Certificat fourni
b0d111d6b116,PRESTATAIRE,Conformité KYC,FORMATION,2025-06-25,28.06.2025,4,Y,Validé manager
b0d111d6b116,PRESTATAIRE,Conformité KYC,CONGE_PAYE,09-06-2024,15-06-2024,7,OUI,RAS
b0d111d6b116,Prestataire,Conformité KYC,CONGE_PAYE,27/03/2025,2025-04-05,10,OUI,A régulariser
b0d111d6b116,PRESTATAIRE,Conformité KYC,Formation CFA,2025-12-25,27-12-2025,3,OUI,Validé manager
b0d111d6b116,PRESTATAIRE,Conformité KYC,Congé Payé,2025-07-27,2025-08-05,10,O,RAS
b0d111d6b116,PRESTATAIRE,Conformité KYC,rtt,2024-06-11,2024-06-11,1,O,URGENT
b0d111d6b116,Prestataire,Conformité KYC,RTT,01-05-2025,01.05.2025,1,O,URGENT
b0d111d6b116,PRESTATAIRE,Conformité KYC,MALADIE,10/10/2024,13.10.2024,4,Y,En attente validation
b0d111d6b116,Prestataire,Conformité KYC,Maladie,07-01-2025,09/01/2025,3,NON,
b0d111d6b116,Prestataire,Conformité KYC,Congé Payé,13/04/2026,2026-04-21,9,Y,RAS
b0d111d6b116,PRESTATAIRE,Conformité KYC,Maladie,16.09.2025,18.09.2025,3,0,RAS
b0d111d6b116,PRESTATAIRE,Conformité KYC,CP,2024-06-28,27-06-2024,7,Y,A régulariser
b0d111d6b116,PRESTATAIRE,Conformité KYC,rtt,03/03/2025,03/03/2025,1,0,
b0d111d6b116,PRESTATAIRE,Conformité KYC,RTT,27-01-2024,27/01/2024,1,N,
b0d111d6b116,PRESTATAIRE,Conformité KYC,RTT,11/24/2025,2025-11-24,1,NON,
b0d111d6b116,Prestataire,Conformité KYC,Absent,01.11.2025,2025-11-01,1,Y,En attente validation
b0d111d6b116,Prestataire,Conformité KYC,RTT,02/26/2026,02/26/2026,1,O,A régulariser
b0d111d6b116,PRESTATAIRE,Conformité KYC,CONGE_PAYE,13-10-2024,10/21/2024,9,N,A régulariser
0c84277a6559,cdi,Épargne & Placements,MALADIE,09/09/2025,09.09.2025,1,Y,RAS
0c84277a6559,CDI,Épargne & Placements,CONGE_PAYE,03/11/2024,11.11.2024,9,N,En attente validation
0c84277a6559,CDI,Épargne & Placements,rtt,03-05-2026,2026-05-03,1,OUI,
0c84277a6559,CDI,Épargne & Placements,Maladie,25/04/26,27/04/2026,3,O,Validé manager
0c84277a6559,CDI,Épargne & Placements,CP,23-03-2024,28-03-2024,6,NON,URGENT
0c84277a6559,CDI,Épargne & Placements,CONGE_PAYE,09/27/2024,26/09/24,6,N,A régulariser
0c84277a6559,cdi,Épargne & Placements,FORMATION,2024-12-28,2024-12-29,2,0,En attente validation
0c84277a6559,CDI,Épargne & Placements,CP,01/13/2025,19.01.2025,7,O,En attente validation
0c84277a6559,cdi,Épargne & Placements,Formation CFA,24.12.2025,27-12-2025,4,OUI,Validé manager
0c84277a6559,cdi,Épargne & Placements,RTT,09/27/2024,27-09-2024,1,NON,Validé manager
0c84277a6559,cdi,Épargne & Placements,RTT,02/03/2026,02.03.2026,1,0,Validé manager
0c84277a6559,cdi,Épargne & Placements,RTT,26/12/25,26-12-2025,1,O,A régulariser
0c84277a6559,cdi,Épargne & Placements,Formation CFA,26-05-2024,27.05.2024,2,0,
0c84277a6559,cdi,,rtt,28-12-2024,28.12.2024,1,O,RAS
0c84277a6559,CDI,Épargne & Placements,Maladie,16.09.2024,19/09/24,4,Y,Validé manager
0c84277a6559,cdi,Épargne & Placements,Formation CFA,08/24/2024,27.08.2024,4,0,URGENT
0c84277a6559,CDI,Épargne & Placements,Maladie,2024-04-10,12.04.2024,3,NON,RAS
0c84277a6559,CDI,Épargne & Placements,MALADIE,30.03.2026,2026-04-02,4,0,En attente validation
0c84277a6559,cdi,Épargne & Placements,RTT,2026-05-25,25-05-2026,1,0,Certificat fourni
0c84277a6559,CDI,Épargne & Placements,Congé Payé,11/20/2025,27/11/25,8,0,
0c84277a6559,CDI,Épargne & Placements,MALADIE,2025-06-22,2025-06-22,1,Y,
0c84277a6559,cdi,Épargne & Placements,CONGE_PAYE,2024-07-08,12/07/2024,5,0,RAS
0c84277a6559,cdi,Épargne & Placements,CP,14/06/25,06/23/2025,10,O,
0c84277a6559,cdi,Épargne & Placements,RTT,15/03/25,03/15/2025,1,OUI,URGENT
0c84277a6559,CDI,Épargne & Placements,CONGE_PAYE,06/16/2024,2024-06-20,5,Y,En attente validation
2e2721336864,CDD,Recouvrement,rtt,2024-01-24,01/24/2024,1,N,En attente validation
2e2721336864,CDD,Recouvrement,Congé Payé,22/01/2024,01/26/2024,5,OUI,RAS
2e2721336864,CDD,Recouvrement,Maladie,07/01/2024,11-01-2024,5,0,Validé manager
2e2721336864,CDD,Recouvrement,RTT,05-01-2024,05/01/2024,1,Y,URGENT
2e2721336864,CDD,Recouvrement,FORMATION,2024-01-06,2024-01-09,4,Y,A régulariser
2e2721336864,CDD,Recouvrement,Formation CFA,03-01-2024,04-01-2024,2,OUI,A régulariser
2e2721336864,CDD,Recouvrement,CONGE_PAYE,17/01/24,25/01/24,9,1,A régulariser
2e2721336864,cdd,Recouvrement,rtt,2024-01-24,24.01.2024,1,0,
2e2721336864,cdd,Recouvrement,Absent,13/01/2024,13.01.2024,1,NON,URGENT
2e2721336864,cdd,Recouvrement,Formation,03/01/2024,2024-01-07,5,0,En attente validation
2e2721336864,CDD,Recouvrement,Maladie,2024-01-06,10-01-2024,5,Y,RAS
2e2721336864,cdd,Recouvrement,Congé Payé,2024-01-13,10.01.2024,8,0,
2e2721336864,CDD,Recouvrement,CONGE_PAYE,21.01.2024,01/25/2024,5,Y,RAS
2e2721336864,cdd,Recouvrement,CONGE_PAYE,05/01/2024,10/01/2024,6,OUI,RAS
2e2721336864,cdd,Recouvrement,RTT,24-01-2024,24-01-2024,1,O,Certificat fourni
2e2721336864,cdd,Recouvrement,rtt,04.01.2024,04/01/2024,1,OUI,
2e2721336864,cdd,Recouvrement,CONGE_PAYE,10/01/2024,14/01/24,5,NON,En attente validation
2e2721336864,CDD,Recouvrement,Maladie,20/01/24,01/21/2024,2,0,RAS
2e2721336864,cdd,Recouvrement,Formation,01/24/2024,26-01-2024,3,OUI,URGENT
2e2721336864,CDD,Recouvrement,MALADIE,10-01-2024,10-01-2024,1,O,A régulariser
2e2721336864,CDD,Recouvrement,Maladie,03.01.2024,03/01/2024,1,N,URGENT
2e2721336864,cdd,Recouvrement,RTT,2024-01-24,2024-01-24,1,1,Certificat fourni
2e2721336864,CDD,Recouvrement,FORMATION,10-01-2024,12-01-2024,3,NON,Validé manager
2e2721336864,CDD,Recouvrement,Congé Payé,07.01.2024,2024-01-12,6,0,En attente validation
2e2721336864,cdd,Recouvrement,rtt,01/23/2024,23/01/24,1,NON,
2e2721336864,cdd,Recouvrement,Maladie,12/01/2024,12-01-2024,1,N,
a6c60371a7a9,CDI,Épargne & Placements,CONGE_PAYE,01-03-2025,2025-03-08,8,OUI,
a6c60371a7a9,cdi,Épargne & Placements,CONGE_PAYE,24.04.2025,03.05.2025,10,N,Certificat fourni
a6c60371a7a9,CDI,,Congé Payé,07/13/2024,17/07/2024,5,OUI,RAS
a6c60371a7a9,CDI,Épargne & Placements,Formation,27/04/2026,29.04.2026,3,Y,A régulariser
a6c60371a7a9,cdi,Épargne & Placements,Formation,26/04/24,30/04/24,5,N,Certificat fourni
a6c60371a7a9,CDI,Épargne & Placements,Maladie,2025-12-11,11.12.2025,1,O,
a6c60371a7a9,CDI,Épargne & Placements,rtt,09/25/2024,25-09-2024,1,1,Certificat fourni
a6c60371a7a9,CDI,Épargne & Placements,CP,16/01/2026,20.01.2026,5,0,RAS
a6c60371a7a9,cdi,Épargne & Placements,CONGE_PAYE,05.05.2026,2026-05-14,10,0,RAS
a6c60371a7a9,CDI,Épargne & Placements,Maladie,03/25/2024,2024-03-28,4,Y,
a6c60371a7a9,cdi,Épargne & Placements,CONGE_PAYE,11-09-2024,2024-09-20,10,NON,RAS
a6c60371a7a9,cdi,Épargne & Placements,CP,2026-06-09,06/15/2026,7,O,
a6c60371a7a9,CDI,Épargne & Placements,CONGE_PAYE,2026-02-26,2026-03-05,8,1,
a6c60371a7a9,cdi,Épargne & Placements,CONGE_PAYE,19-11-2025,23.11.2025,5,O,URGENT
a6c60371a7a9,cdi,Épargne & Placements,CP,14.07.2025,2025-07-19,6,OUI,RAS
a6c60371a7a9,CDI,Épargne & Placements,MALADIE,30/04/25,2025-05-04,5,NON,RAS
a6c60371a7a9,CDI,Épargne & Placements,Formation,10/31/2024,04-11-2024,5,O,URGENT
a6c60371a7a9,cdi,,Congé Payé,20/04/2024,26/04/24,7,O,En attente validation
a6c60371a7a9,CDI,Épargne & Placements,CONGE_PAYE,2024-08-24,01/09/2024,9,OUI,RAS
a6c60371a7a9,CDI,Épargne & Placements,MALADIE,2024-11-03,06.11.2024,4,N,Certificat fourni
a6c60371a7a9,CDI,Épargne & Placements,Formation CFA,16-08-2024,17/08/2024,2,O,Certificat fourni
a6c60371a7a9,CDI,Épargne & Placements,CP,14/03/2024,03/18/2024,5,N,Certificat fourni
a6c60371a7a9,CDI,Épargne & Placements,Congé Payé,15-09-2025,09/22/2025,8,N,RAS
a6c60371a7a9,CDI,Épargne & Placements,FORMATION,10/21/2025,23/10/25,3,O,
a6c60371a7a9,CDI,Épargne & Placements,RTT,08/26/2024,08/26/2024,1,1,
a6c60371a7a9,CDI,Épargne & Placements,Maladie,29/10/25,10/31/2025,3,NON,A régulariser
a6c60371a7a9,cdi,Épargne & Placements,CP,12/28/2025,2026-01-03,7,Y,
a6c60371a7a9,CDI,,Maladie,12/07/2024,13/07/2024,2,1,RAS
a6c60371a7a9,cdi,Épargne & Placements,rtt,25/09/2025,25.09.2025,1,Y,En attente validation
a6c60371a7a9,cdi,Épargne & Placements,FORMATION,02/27/2024,29.02.2024,3,O,
a6c60371a7a9,cdi,Épargne & Placements,Formation,25-03-2024,29/03/24,5,N,En attente validation
a6c60371a7a9,cdi,Épargne & Placements,Congé Payé,08/25/2025,03/09/2025,10,1,En attente validation
264d28d68214,cdi,Recouvrement,Maladie,06/09/2025,06-09-2025,1,O,Certificat fourni
264d28d68214,CDI,Recouvrement,rtt,09/11/2024,09/11/2024,1,NON,
264d28d68214,cdi,Recouvrement,RTT,2025-05-27,27/05/25,1,OUI,Validé manager
264d28d68214,CDI,Recouvrement,RTT,24/01/2024,2024-01-24,1,O,URGENT
264d28d68214,CDI,,CONGE_PAYE,18-01-2024,25/01/2024,8,1,
264d28d68214,cdi,Recouvrement,rtt,2024-12-27,2024-12-27,1,O,Validé manager
264d28d68214,CDI,Recouvrement,Maladie,04/25/2025,04/28/2025,4,Y,Certificat fourni
264d28d68214,cdi,Recouvrement,FORMATION,25-05-2025,26/05/25,2,N,
264d28d68214,CDI,Recouvrement,FORMATION,03-07-2024,05/07/2024,3,O,En attente validation
264d28d68214,cdi,Recouvrement,CONGE_PAYE,31.01.2026,04-02-2026,5,N,
264d28d68214,cdi,Recouvrement,RTT,28/05/25,05/28/2025,1,0,Validé manager
264d28d68214,CDI,Recouvrement,CP,08/19/2025,27/08/25,9,O,Certificat fourni
264d28d68214,cdi,Recouvrement,RTT,2025-07-25,25-07-2025,1,1,URGENT
264d28d68214,CDI,,MALADIE,2025-03-13,14/03/25,2,O,A régulariser
264d28d68214,CDI,Recouvrement,Formation,27.04.2026,29.04.2026,3,O,RAS
264d28d68214,CDI,Recouvrement,Congé Payé,02/08/2025,2025-08-11,10,N,RAS
264d28d68214,CDI,Recouvrement,RTT,05/26/2024,26/05/2024,1,O,A régulariser
264d28d68214,cdi,Recouvrement,Maladie,28/10/2025,25/10/25,3,N,
264d28d68214,cdi,Recouvrement,rtt,26-03-2024,2024-03-26,1,Y,Certificat fourni
264d28d68214,CDI,Recouvrement,Maladie,28-12-2025,30/12/25,3,0,Validé manager
264d28d68214,cdi,Recouvrement,Maladie,06/02/2024,08/02/2024,3,O,
264d28d68214,cdi,,Formation,30-10-2025,02-11-2025,4,OUI,Validé manager
264d28d68214,cdi,Recouvrement,MALADIE,26.01.2024,01/30/2024,5,1,
264d28d68214,cdi,Recouvrement,CONGE_PAYE,08.02.2025,2025-02-12,5,O,A régulariser
264d28d68214,CDI,Recouvrement,Formation CFA,19/12/2024,21/12/24,3,O,Validé manager
264d28d68214,cdi,Recouvrement,MALADIE,03.03.2025,2025-03-05,3,OUI,Certificat fourni
264d28d68214,CDI,Recouvrement,FORMATION,25-10-2025,10/28/2025,4,OUI,
264d28d68214,CDI,Recouvrement,Congé Payé,29.12.2024,02.01.2025,5,0,En attente validation
264d28d68214,CDI,Recouvrement,RTT,28-02-2025,28/02/2025,1,NON,Certificat fourni
264d28d68214,CDI,Recouvrement,rtt,2024-11-20,20.11.2024,1,NON,Validé manager
9d719ebffb3e,CDD,,rtt,09-05-2026,09/05/2026,1,0,Validé manager
9d719ebffb3e,CDD,Recouvrement,MALADIE,18/04/2026,22.04.2026,5,Y,Certificat fourni
9d719ebffb3e,CDD,Recouvrement,Maladie,03/30/2026,2026-04-02,4,N,A régulariser
9d719ebffb3e,cdd,Recouvrement,RTT,24.05.2026,2026-05-24,1,1,
9d719ebffb3e,cdd,Recouvrement,Formation,2026-05-28,30/05/26,3,N,
9d719ebffb3e,CDD,Recouvrement,RTT,03/26/2026,26/03/26,1,0,
9d719ebffb3e,CDD,Recouvrement,Congé Payé,25/05/26,05/29/2026,5,0,
9d719ebffb3e,cdd,Recouvrement,Formation,03.04.2026,2026-04-07,5,NON,RAS
9d719ebffb3e,CDD,Recouvrement,Maladie,08/06/2026,08.06.2026,1,Y,A régulariser
9d719ebffb3e,CDD,Recouvrement,Formation CFA,22/03/26,03/26/2026,5,O,En attente validation
9d719ebffb3e,CDD,Recouvrement,CONGE_PAYE,13/03/26,17/03/26,5,O,
9d719ebffb3e,CDD,Recouvrement,Congé Payé,24.04.2026,04/30/2026,7,OUI,
9d719ebffb3e,CDD,Recouvrement,MALADIE,2026-05-24,2026-05-27,4,NON,En attente validation
9d719ebffb3e,cdd,Recouvrement,Formation,03-04-2026,05/04/2026,120,O,A régulariser
9d719ebffb3e,cdd,Recouvrement,MALADIE,03/21/2026,2026-03-21,1,1,Certificat fourni
9d719ebffb3e,cdd,Recouvrement,Congé Payé,2026-04-11,17/04/2026,7,0,
9d719ebffb3e,CDD,Recouvrement,Absent,21/03/26,2026-03-21,1,0,URGENT
9d719ebffb3e,CDD,Recouvrement,Congé Payé,24.03.2026,28/03/2026,5,1,A régulariser
9d719ebffb3e,cdd,Recouvrement,RTT,2026-03-26,2026-03-26,1,NON,
9d719ebffb3e,cdd,Recouvrement,RTT,26/04/2026,26.04.2026,1,1,Validé manager
9d719ebffb3e,cdd,Recouvrement,FORMATION,24/05/26,27-05-2026,4,OUI,Validé manager
9d719ebffb3e,CDD,Recouvrement,MALADIE,05-04-2026,06.04.2026,2,N,A régulariser
1d35b98de7d8,cdi,Épargne & Placements,CP,04-03-2025,11-03-2025,8,OUI,Validé manager
1d35b98de7d8,cdi,Épargne & Placements,CP,10.11.2025,2025-11-14,5,N,Certificat fourni
1d35b98de7d8,CDI,Épargne & Placements,RTT,25/05/24,25-05-2024,1,O,
1d35b98de7d8,cdi,Épargne & Placements,CP,11.11.2024,17-11-2024,7,O,Validé manager
