date,nb_taches_jour,volume_entrant_jour,etp_disponible,charge_par_etp,alerte_surcharge,temps_moyen_traitement,duree_traitement_mediane,taux_complexes,jour_semaine,mois,trimestre,est_fin_de_mois,est_fin_trimestre,est_lundi,est_vendredi,semaine_du_mois,volume_lag_1j,etp_lag_1j,volume_lag_7j,etp_lag_7j,volume_lag_14j,etp_lag_14j,volume_lag_30j,etp_lag_30j,volume_moy_7j,charge_moy_7j
2024-01-16,945,3420.0,53.0,64.52830188679245,0,54.30372807017544,2.0,2.0444444444444443,1,1,1,0,0,0,0,3,2245.0,52.0,2416.0,49.8,,,,,2695.5714285714284,55.030672226544425
2024-01-17,945,2811.0,49.8,56.445783132530124,0,53.90979097909791,2.0,1.9841269841269842,2,1,1,0,0,0,0,3,3420.0,53.0,2484.0,47.8,,,,,2742.285714285714,55.67056593166977
2024-01-18,945,2676.0,49.8,53.734939759036145,0,53.13846153846154,2.0,1.9798941798941798,3,1,1,0,0,0,0,3,2811.0,49.8,2466.0,47.8,,,,,2772.285714285714,55.97699187453268
2024-01-19,945,2601.0,49.0,53.08163265306123,0,52.7199124726477,2.0,1.9862433862433861,4,1,1,0,0,0,1,3,2676.0,49.8,2824.0,46.8,2858.0,55.8,,,2740.4285714285716,54.939813633272806
2024-01-22,945,3808.0,46.8,81.36752136752138,0,52.459016393442624,2.0,2.001058201058201,0,1,1,0,0,1,0,4,2601.0,49.0,3043.0,45.8,4139.0,55.0,,,2849.714285714286,57.072166966499495
2024-01-23,945,2958.0,49.8,59.397590361445786,0,53.15469613259668,2.0,1.9735449735449735,1,1,1,0,0,0,0,4,3808.0,46.8,2387.0,50.6,4180.0,54.0,,,2931.285714285714,58.818406583352
2024-01-24,945,3309.0,50.8,65.13779527559055,0,58.15038419319429,2.0,2.0613756613756613,2,1,1,0,0,0,0,4,2958.0,49.8,2245.0,52.0,2745.0,50.8,,,3083.285714285714,61.95622349085396
2024-01-25,1178,4494.0,48.8,92.09016393442623,0,55.02814423922603,2.0,2.0415959252971136,3,1,1,1,0,0,0,4,3309.0,50.8,3420.0,53.0,2416.0,49.8,,,3236.714285714286,65.89363235480162
2024-01-26,1178,2957.0,40.8,72.47549019607844,0,56.533158813263526,2.0,2.0534804753820035,4,1,1,1,0,0,1,4,4494.0,48.8,2811.0,49.8,2484.0,47.8,,,3257.5714285714284,68.1835905067371
2024-01-29,1178,3943.0,48.8,80.79918032786885,0,55.355828220858896,2.0,2.0543293718166384,0,1,1,1,0,1,0,5,2957.0,40.8,2676.0,49.8,2466.0,47.8,,,3438.5714285714284,72.04991058799892
2024-01-30,1178,4307.0,51.6,83.46899224806201,0,53.72719298245614,2.0,2.0297113752122242,1,1,1,1,0,0,0,5,3943.0,48.8,2601.0,49.0,2824.0,46.8,,,3682.285714285714,76.39096195871332
2024-01-31,1178,2837.0,50.6,56.06719367588933,0,54.118689105403014,2.0,2.0432937181663835,2,1,1,1,0,0,0,5,4307.0,51.6,3808.0,46.8,3043.0,45.8,,,3543.5714285714284,72.77662943133731
2024-02-01,1116,2941.0,51.6,56.99612403100775,0,53.20037453183521,2.0,1.996415770609319,3,2,1,0,0,0,0,1,2837.0,50.6,2958.0,49.8,2387.0,50.6,,,3541.1428571428573,72.4335628127033
2024-02-02,1116,3356.0,52.6,63.80228136882129,0,55.186024551463646,2.0,2.0080645161290325,4,2,1,0,0,0,1,1,2941.0,51.6,3309.0,50.8,2245.0,52.0,,,3547.8571428571427,72.24277511173628
2024-02-05,1116,3166.0,49.8,63.574297188755025,0,53.40433553251649,2.0,2.017921146953405,0,2,1,0,0,1,0,1,3356.0,52.6,4494.0,48.8,3420.0,53.0,,,3358.1428571428573,68.16907986235468
2024-02-06,1116,3385.0,48.8,69.36475409836066,0,53.54119850187266,2.0,1.9919354838709677,1,2,1,0,0,0,0,1,3166.0,49.8,2957.0,40.8,2811.0,49.8,,,3419.285714285714,67.72468899125214
2024-02-07,1116,2908.0,48.8,59.590163934426236,0,53.78912839737582,2.0,1.9767025089605734,2,2,1,0,0,0,0,1,3385.0,48.8,3943.0,48.8,2676.0,49.8,,,3271.4285714285716,64.69482950647462
2024-02-08,1116,2696.0,50.8,53.07086614173229,0,50.45735707591378,2.0,1.9901433691756272,3,2,1,0,0,0,0,2,2908.0,48.8,4307.0,51.6,2601.0,49.0,,,3041.285714285714,60.35224006271323
2024-02-09,1116,2423.0,50.8,47.69685039370079,0,53.21067415730337,2.0,1.9802867383512546,4,2,1,0,0,0,1,2,2696.0,50.8,2837.0,50.6,3808.0,46.8,,,2982.1428571428573,59.156476736686294
2024-02-12,1116,3322.0,48.8,68.07377049180329,0,53.182330827067666,2.0,1.9534050179211468,0,2,1,0,0,1,0,2,2423.0,50.8,2941.0,51.6,2958.0,49.8,2858.0,55.8,3036.5714285714284,60.73899765965708
2024-02-13,1116,2935.0,47.8,61.40167364016737,0,53.64847363552266,2.0,2.014336917562724,1,2,1,0,0,0,0,2,3322.0,48.8,3356.0,52.6,3309.0,50.8,4139.0,55.0,2976.4285714285716,60.39605369842081
2024-02-14,1116,3431.0,49.8,68.89558232931728,0,52.905783582089555,2.0,1.9919354838709677,2,2,1,0,0,0,0,2,2935.0,47.8,3166.0,49.8,4494.0,48.8,4180.0,54.0,3014.285714285714,61.1562372899297
2024-02-15,1116,3771.0,50.8,74.23228346456693,0,54.00279069767442,2.0,1.9982078853046594,3,2,1,0,0,0,0,3,3431.0,49.8,3385.0,48.8,2957.0,40.8,2745.0,50.8,3069.4285714285716,61.85159862795916
2024-02-16,1116,5246.0,50.8,103.26771653543308,1,55.773708920187794,2.0,2.014336917562724,4,2,1,0,0,0,1,3,3771.0,50.8,2908.0,48.8,3943.0,48.8,2416.0,49.8,3403.4285714285716,68.09124899953157
2024-02-19,1134,2690.0,54.8,49.087591240875916,0,55.52660550458715,2.0,2.0414462081128746,0,2,1,0,0,1,0,3,5246.0,50.8,2696.0,50.8,4307.0,51.6,2484.0,47.8,3402.5714285714284,67.52220972798067
2024-02-20,1134,3852.0,55.8,69.03225806451613,0,55.312900274473925,2.0,2.0141093474426808,1,2,1,0,0,0,0,3,2690.0,54.8,2423.0,50.8,2837.0,50.6,2466.0,47.8,3606.714285714286,70.5701251095257
2024-02-21,1134,3242.0,52.8,61.401515151515156,0,53.61609620721554,2.0,1.9797178130511464,2,2,1,0,0,0,0,3,3852.0,55.8,3322.0,48.8,2941.0,51.6,2824.0,46.8,3595.285714285714,69.61694577519883
2024-02-22,1134,4845.0,53.8,90.0557620817844,0,55.1204044117647,2.0,1.9964726631393297,3,2,1,0,0,0,0,4,3242.0,52.8,2935.0,47.8,3356.0,52.6,3043.0,45.8,3868.1428571428573,73.71038698114413
2024-02-23,1134,3682.0,49.8,73.93574297188755,0,55.7099725526075,2.0,2.0388007054673722,4,2,1,0,0,0,1,4,4845.0,53.8,3431.0,49.8,3166.0,49.8,2387.0,50.6,3904.0,74.43040993008273
2024-02-26,1449,4251.0,48.8,87.11065573770492,0,55.25574712643678,2.0,2.05175983436853,0,2,1,1,0,1,0,4,3682.0,49.8,3771.0,50.8,3385.0,48.8,2245.0,52.0,3972.5714285714284,76.27017739767386
2024-02-27,1449,3938.0,45.8,85.98253275109171,0,53.06361686919228,2.0,2.0531400966183573,1,2,1,1,0,0,0,4,4251.0,48.8,5246.0,50.8,2908.0,48.8,3420.0,53.0,3785.714285714286,73.80086542848225
2024-02-28,1449,5243.0,48.6,107.88065843621399,1,55.52102637205987,2.0,2.05175983436853,2,2,1,1,0,0,0,4,3938.0,45.8,2690.0,54.8,2696.0,50.8,2811.0,49.8,4150.428571428572,82.19987502781626
2024-02-29,1449,5357.0,50.8,105.45275590551182,1,56.765086206896555,2.0,2.089026915113872,3,2,1,1,0,0,0,5,5243.0,48.6,3852.0,55.8,2423.0,50.8,2676.0,49.8,4365.428571428572,87.40280329081565
2024-03-01,1575,5141.0,50.8,101.20078740157481,1,56.322045152722445,2.0,2.069206349206349,4,3,1,0,1,0,1,1,5357.0,50.8,3242.0,52.8,3322.0,48.8,2601.0,49.0,4636.714285714285,93.08841361225275
2024-03-04,1575,5691.0,54.8,103.85036496350365,1,56.168089297439266,2.0,2.071111111111111,0,3,1,0,1,1,0,1,5141.0,50.8,4845.0,53.8,2935.0,47.8,3808.0,46.8,4757.571428571428,95.05907116678407
2024-03-05,1575,4734.0,53.8,87.99256505576209,0,55.36021150033047,2.0,2.081269841269841,1,3,1,0,1,0,0,1,5691.0,54.8,3682.0,49.8,3431.0,49.8,2958.0,49.8,4907.857142857143,97.06718860733757
2024-03-06,1575,5492.0,53.8,102.0817843866171,1,56.64644487932159,2.0,2.1041269841269843,2,3,1,0,1,0,0,1,4734.0,53.8,4251.0,48.8,3771.0,50.8,3309.0,50.8,5085.142857142857,99.20592127146789
2024-03-07,1575,4239.0,54.8,77.35401459854015,0,55.75081967213115,2.0,2.0628571428571427,3,3,1,0,1,0,0,1,5492.0,53.8,3938.0,45.8,5246.0,50.8,4494.0,48.8,5128.142857142857,97.97327582110337
2024-03-08,1575,5056.0,52.8,95.75757575757576,0,55.36441798941799,2.0,2.1085714285714285,4,3,1,0,1,0,1,2,4239.0,54.8,5243.0,48.6,2690.0,54.8,2957.0,40.8,5101.428571428572,96.24140686701219
2024-03-11,1575,5979.0,50.8,117.6968503937008,1,55.76943346508564,2.0,2.057777777777778,0,3,1,0,1,1,0,2,5056.0,52.8,5357.0,50.8,3852.0,55.8,3943.0,48.8,5190.285714285715,97.99056322246777
2024-03-12,1575,4638.0,47.8,97.02928870292888,0,57.107519788918204,2.0,2.09015873015873,1,3,1,0,1,0,0,2,5979.0,50.8,5141.0,50.8,3242.0,52.8,4307.0,51.6,5118.428571428572,97.39463483694692
2024-03-13,1575,4815.0,50.8,94.78346456692914,0,56.37163493105712,2.0,2.0876190476190475,2,3,1,0,1,0,0,2,4638.0,47.8,5691.0,54.8,4845.0,53.8,2837.0,50.6,4993.285714285715,96.09936335172199
2024-03-14,1575,4721.0,50.8,92.93307086614173,0,56.48082010582011,2.0,2.1053968253968254,3,3,1,0,1,0,0,2,4815.0,50.8,4734.0,53.8,3682.0,49.8,2941.0,51.6,4991.428571428572,96.80514989606195
2024-03-15,1550,5914.0,49.8,118.75502008032129,1,57.166779203241056,2.0,2.067741935483871,4,3,1,0,1,0,1,3,4721.0,50.8,5492.0,53.8,4251.0,48.8,3356.0,52.6,5051.714285714285,99.18704070944825
2024-03-18,1550,5654.0,44.8,126.20535714285715,1,56.11512717536814,2.0,2.099354838709677,0,3,1,0,1,1,0,3,5914.0,49.8,4239.0,54.8,3938.0,45.8,3166.0,49.8,5253.857142857143,106.16580393006497
2024-03-19,1550,4097.0,46.8,87.54273504273505,0,53.87088096839274,2.0,2.049677419354839,1,3,1,0,1,0,0,3,5654.0,44.8,5056.0,52.8,5243.0,48.6,3385.0,48.8,5116.857142857143,104.99225525651629
2024-03-20,1550,3709.0,48.8,76.00409836065575,0,55.60455764075067,2.0,2.089032258064516,2,3,1,0,1,0,0,3,4097.0,46.8,5979.0,50.8,5357.0,50.8,2908.0,48.8,4792.571428571428,99.03614782322414
2024-03-21,1550,3883.0,48.8,79.56967213114754,0,55.635935397039034,2.0,2.081290322580645,3,3,1,0,1,0,0,3,3709.0,48.8,4638.0,47.8,5141.0,50.8,2696.0,50.8,4684.714285714285,96.54191688439823
2024-03-22,1550,3745.0,50.8,73.72047244094489,0,54.95838926174497,2.0,2.074193548387097,4,3,1,0,1,0,1,4,3883.0,48.8,4815.0,50.8,5691.0,54.8,2423.0,50.8,4531.857142857143,93.53291800925763
2024-03-25,1922,6782.0,46.8,144.91452991452994,1,57.3275204359673,3.0,2.1337148803329864,0,3,1,1,1,1,0,4,3745.0,50.8,4721.0,50.8,4734.0,53.8,3322.0,48.8,4826.285714285715,100.95884073045595
2024-03-26,1922,6065.0,42.8,141.70560747663552,1,56.576151761517615,3.0,2.0988553590010404,1,3,1,1,1,0,0,4,6782.0,46.8,5914.0,49.8,5492.0,53.8,2935.0,47.8,4847.857142857143,104.23749607278657
2024-03-27,1922,6391.0,46.8,136.55982905982907,1,57.449401523395,3.0,2.111862643080125,2,3,1,1,1,0,0,4,6065.0,42.8,5654.0,44.8,4239.0,54.8,3431.0,49.8,4953.142857142857,105.71670634663967
2024-03-28,1922,6739.0,41.8,161.2200956937799,1,55.338403041825096,3.0,2.0733610822060355,3,3,1,1,1,0,0,4,6391.0,46.8,4097.0,46.8,5056.0,52.8,3771.0,50.8,5330.571428571428,116.24204358250324
2024-03-29,1953,5652.0,46.8,120.76923076923077,1,56.1004810261892,3.0,2.1254480286738353,4,3,1,1,1,0,1,5,6739.0,41.8,3709.0,48.8,5979.0,50.8,5246.0,50.8,5608.142857142857,122.63706249801395
2024-04-01,1024,2051.0,54.8,37.42700729927007,0,55.54638124362895,2.0,2.033203125,0,4,2,0,0,1,0,1,5652.0,46.8,3883.0,48.8,4638.0,47.8,2690.0,54.8,5346.428571428572,116.61668180774575
2024-04-02,1024,2738.0,55.8,49.06810035842294,0,54.72690355329949,2.0,2.005859375,1,4,2,0,0,0,0,1,2051.0,54.8,3745.0,50.8,4815.0,50.8,3852.0,55.8,5202.571428571428,113.09491436738547
2024-04-03,1024,3195.0,53.8,59.38661710037175,0,53.1640866873065,2.0,1.998046875,2,4,2,0,0,0,0,1,2738.0,55.8,6782.0,46.8,4721.0,50.8,3242.0,52.8,4690.142857142857,100.87664110822001
2024-04-04,1008,3342.0,53.8,62.118959107806695,0,52.8879753340185,2.0,1.9781746031746033,3,4,2,0,0,0,0,1,3195.0,53.8,6065.0,42.8,5914.0,49.8,4845.0,53.8,4301.142857142857,89.50711991267303
2024-04-05,1008,4561.0,53.8,84.77695167286245,0,54.322713257965056,2.0,2.0238095238095237,4,4,2,0,0,0,1,1,3342.0,53.8,6391.0,46.8,5654.0,44.8,3682.0,49.8,4039.714285714286,82.10956600024922
2024-04-08,1008,3394.0,54.8,61.93430656934307,0,53.2340206185567,2.0,1.9930555555555556,0,4,2,0,0,1,0,2,4561.0,53.8,6739.0,41.8,4097.0,46.8,4251.0,48.8,3561.8571428571427,67.92588183961539
2024-04-09,1008,3881.0,53.8,72.1375464684015,0,55.912155260469866,2.0,2.0188492063492065,1,4,2,0,0,0,0,2,3394.0,54.8,5652.0,46.8,3709.0,48.8,3938.0,45.8,3308.8571428571427,60.97849836806836
2024-04-10,1008,3059.0,50.8,60.21653543307087,0,52.34670781893004,2.0,2.003968253968254,2,4,2,0,0,0,0,2,3881.0,53.8,2051.0,54.8,3883.0,48.8,5243.0,48.6,3452.8571428571427,64.23414524432562
2024-04-11,1008,2835.0,49.8,56.9277108433735,0,53.554759467758444,2.0,1.9950396825396826,3,4,2,0,0,0,0,2,3059.0,50.8,2738.0,55.8,3745.0,50.8,5357.0,50.8,3466.714285714286,65.35694674217568
2024-04-12,992,3578.0,48.8,73.31967213114754,0,53.603813559322035,2.0,1.9949596774193548,4,4,2,0,0,0,1,2,2835.0,49.8,3195.0,53.8,6782.0,46.8,5141.0,50.8,3521.4285714285716,67.34738317514366
2024-04-15,992,3496.0,51.8,67.49034749034749,0,54.51546391752577,2.0,2.0090725806451615,0,4,2,0,0,1,0,3,3578.0,48.8,3342.0,53.8,6065.0,42.8,5691.0,54.8,3543.4285714285716,68.11472437264948
2024-04-16,992,2569.0,50.8,50.57086614173229,0,50.675052410901465,2.0,2.0231854838709675,1,4,2,0,0,0,0,3,3496.0,51.8,4561.0,53.8,6391.0,46.8,4734.0,53.8,3258.8571428571427,63.22814072534518
2024-04-17,992,3333.0,52.8,63.125,0,54.82432432432432,2.0,2.033266129032258,2,4,2,0,0,0,0,3,2569.0,50.8,3394.0,54.8,6739.0,41.8,5492.0,53.8,3250.1428571428573,63.3982397868676
2024-04-18,992,3700.0,52.8,70.07575757575758,0,52.02944269190326,2.0,1.9818548387096775,3,4,2,0,0,0,0,3,3333.0,52.8,3881.0,53.8,5652.0,46.8,4239.0,54.8,3224.285714285714,63.10369851648989
2024-04-19,992,2464.0,51.8,47.56756756756757,0,54.23529411764706,2.0,2.0463709677419355,4,4,2,0,0,0,1,3,3700.0,52.8,3059.0,50.8,2051.0,54.8,5056.0,52.8,3139.285714285714,61.296703107132274
2024-04-22,992,2955.0,52.8,55.96590909090909,0,54.22584033613445,2.0,2.0806451612903225,0,4,2,0,0,1,0,4,2464.0,51.8,2835.0,49.8,2738.0,55.8,5979.0,50.8,3156.4285714285716,61.15930285678022
2024-04-23,992,3643.0,54.8,66.47810218978103,0,52.81083953241233,2.0,1.9868951612903225,1,4,2,0,0,0,0,4,2955.0,52.8,3578.0,48.8,3195.0,53.8,4638.0,47.8,3165.714285714286,60.181935722299286
2024-04-24,992,2670.0,51.8,51.544401544401545,0,49.03541666666667,2.0,1.9304435483870968,2,4,2,0,0,0,0,4,3643.0,54.8,3496.0,51.8,3342.0,53.8,4815.0,50.8,3047.714285714286,57.90394344430701
2024-04-25,1240,3971.0,49.8,79.73895582329318,0,54.53826745164003,2.0,2.0516129032258066,3,4,2,1,0,0,0,4,2670.0,51.8,2569.0,50.8,4561.0,53.8,4721.0,50.8,3248.0,62.07081339881571
2024-04-26,1240,3743.0,47.8,78.30543933054393,0,52.9457429048414,2.0,2.041935483870968,4,4,2,1,0,0,1,4,3971.0,49.8,3333.0,52.8,3394.0,54.8,5914.0,49.8,3306.5714285714284,64.23944758889341
2024-04-29,1240,3552.0,47.8,74.30962343096235,0,56.11996644295302,2.0,2.082258064516129,0,4,2,1,0,1,0,5,3743.0,47.8,3700.0,52.8,3881.0,53.8,5654.0,44.8,3285.4285714285716,64.84428556820839
2024-04-30,1240,3713.0,51.8,71.67953667953668,0,52.83445378151261,2.0,2.0330645161290324,1,4,2,1,0,0,0,5,3552.0,47.8,2464.0,51.8,3059.0,50.8,4097.0,46.8,3463.8571428571427,68.28885258420398
2024-05-01,1116,3001.0,52.8,56.83712121212122,0,53.1296992481203,2.0,1.9865591397849462,2,5,2,0,0,0,0,1,3713.0,51.8,2955.0,52.8,2835.0,49.8,3709.0,48.8,3470.4285714285716,68.41331145866285
2024-05-02,1116,4932.0,54.8,90.0,0,52.561682242990656,2.0,1.9767025089605734,3,5,2,0,0,0,0,1,3001.0,52.8,3643.0,54.8,3578.0,48.8,3883.0,48.8,3654.5714285714284,71.77358257440842
2024-05-03,1116,2947.0,54.8,53.777372262773724,0,51.983333333333334,2.0,1.9543010752688172,4,5,2,0,0,0,1,1,4932.0,54.8,2670.0,51.8,3496.0,51.8,3745.0,50.8,3694.1428571428573,72.09257839131872
2024-05-06,1116,3839.0,52.8,72.70833333333334,0,52.058106841611995,2.0,1.9704301075268817,0,5,2,0,0,1,0,1,2947.0,54.8,3971.0,49.8,2569.0,50.8,6782.0,46.8,3675.285714285714,71.0882037498959
2024-05-07,1116,2626.0,51.8,50.6949806949807,0,53.850746268656714,2.0,2.025089605734767,1,5,2,0,0,0,0,1,3839.0,52.8,3743.0,47.8,3333.0,52.8,6065.0,42.8,3515.714285714286,67.143852516244
2024-05-08,1116,3628.0,51.8,70.03861003861005,0,53.19514472455649,2.0,2.0017921146953404,2,5,2,0,0,0,0,2,2626.0,51.8,3552.0,47.8,3700.0,52.8,6391.0,46.8,3526.5714285714284,66.53370774590796
2024-05-09,1116,2982.0,53.8,55.4275092936803,0,54.94687791239515,2.0,2.0125448028673834,3,5,2,0,0,0,0,2,3628.0,51.8,3713.0,51.8,2464.0,51.8,6739.0,41.8,3422.1428571428573,64.21198954792848
2024-05-10,1116,4540.0,51.8,87.64478764478766,0,52.27647610121837,2.0,1.9632616487455197,4,5,2,0,0,0,1,2,2982.0,53.8,3001.0,52.8,2955.0,52.8,5652.0,46.8,3642.0,68.61308475259511
2024-05-13,1134,4933.0,47.8,103.2008368200837,1,49.84580291970803,2.0,1.9797178130511464,0,5,2,0,0,1,0,2,4540.0,51.8,4932.0,54.8,3643.0,54.8,2051.0,54.8,3642.1428571428573,70.49891858403564
2024-05-14,1134,2748.0,50.8,54.09448818897638,0,51.6626617375231,2.0,2.009700176366843,1,5,2,0,0,0,0,2,4933.0,47.8,2947.0,54.8,2670.0,51.8,2738.0,55.8,3613.714285714286,70.54422085920744
2024-05-15,1134,3193.0,52.8,60.47348484848485,0,53.784671532846716,2.0,1.9735449735449735,2,5,2,0,0,0,0,3,2748.0,50.8,3839.0,52.8,3971.0,49.8,3195.0,53.8,3521.4285714285716,68.79638536137195
2024-05-16,1134,3450.0,51.8,66.6023166023166,0,53.528058877644895,2.0,2.0141093474426808,3,5,2,0,0,0,0,3,3193.0,52.8,2626.0,51.8,3743.0,47.8,3342.0,53.8,3639.1428571428573,71.06886191956279
2024-05-17,1134,4214.0,54.8,76.89781021897811,0,53.00460405156538,2.0,1.9797178130511464,4,5,2,0,0,0,1,3,3450.0,51.8,3628.0,51.8,3552.0,47.8,4561.0,53.8,3722.8571428571427,72.04874765961537
2024-05-20,1197,3036.0,51.8,58.610038610038615,0,52.94158674803836,2.0,2.0041771094402674,0,5,2,0,0,1,0,3,4214.0,54.8,2982.0,53.8,3713.0,51.8,3394.0,54.8,3730.5714285714284,72.50339470480942
2024-05-21,1197,4198.0,52.8,79.50757575757576,0,54.965819456617005,2.0,1.9958228905597326,1,5,2,0,0,0,0,3,3036.0,51.8,4540.0,51.8,3001.0,52.8,3881.0,53.8,3681.714285714286,71.34093586377914
2024-05-22,1197,3750.0,50.8,73.81889763779527,0,53.59532062391681,2.0,2.0025062656641603,2,5,2,0,0,0,0,4,4198.0,52.8,4933.0,47.8,4932.0,54.8,3059.0,50.8,3512.714285714286,67.14351598059508
2024-05-23,1197,4067.0,49.8,81.66666666666667,0,53.42206654991244,2.0,2.0050125313283207,3,5,2,0,0,0,0,4,3750.0,50.8,2748.0,50.8,2947.0,54.8,2835.0,49.8,3701.1428571428573,71.08239862026514
2024-05-24,1197,3893.0,46.8,83.1837606837607,0,52.944347826086954,2.0,1.95906432748538,4,5,2,0,0,0,1,4,4067.0,49.8,3193.0,52.8,3839.0,52.8,3578.0,48.8,3801.1428571428573,74.32672373959024
2024-05-27,1449,6089.0,48.8,124.77459016393443,1,54.998568360773085,2.0,2.0524499654934436,0,5,2,1,0,1,0,4,3893.0,46.8,3450.0,51.8,2626.0,51.8,3496.0,51.8,4178.142857142857,82.63704853410708
2024-05-28,1449,3935.0,45.0,87.44444444444444,0,54.16582552271089,2.0,2.0641821946169774,1,5,2,1,0,0,0,4,6089.0,48.8,4214.0,54.8,3628.0,51.8,2569.0,50.8,4138.285714285715,84.14371056631656
2024-05-29,1449,4966.0,50.0,99.32,0,53.90823015294975,2.0,2.0220841959972393,2,5,2,1,0,0,0,5,3935.0,45.0,3036.0,51.8,2982.0,53.8,3333.0,52.8,4414.0,89.95941933631104
2024-05-30,1449,3814.0,53.0,71.9622641509434,0,54.12581344902386,2.0,2.0593512767425812,3,5,2,1,0,0,0,5,4966.0,50.0,4198.0,52.8,4540.0,51.8,3700.0,52.8,4359.142857142857,88.8815176782207
2024-05-31,1449,6232.0,54.0,115.4074074074074,1,55.11471861471861,2.0,2.0524499654934436,4,5,2,1,0,0,1,5,3814.0,53.0,3750.0,50.8,4933.0,47.8,2464.0,51.8,4713.714285714285,94.82273335959385
2024-06-03,1600,4310.0,55.8,77.24014336917563,0,56.6228013029316,2.0,2.11625,0,6,2,0,1,1,0,1,6232.0,54.0,4067.0,49.8,2748.0,50.8,2955.0,52.8,4748.428571428572,94.19037288852371
2024-06-04,1600,5470.0,58.8,93.02721088435375,0,54.63565387117762,2.0,2.044375,1,6,2,0,1,0,0,1,4310.0,55.8,3893.0,46.8,3193.0,52.8,3643.0,54.8,4973.714285714285,95.59658006003701
2024-06-05,1600,5040.0,55.8,90.3225806451613,0,56.34399477806789,2.0,2.1075,2,6,2,0,1,0,0,1,5470.0,58.8,6089.0,48.8,3450.0,51.8,2670.0,51.8,4823.857142857143,90.67486441449799
2024-06-06,1600,4856.0,52.8,91.96969696969697,0,55.05301047120419,2.0,2.084375,3,6,2,0,1,0,0,1,5040.0,55.8,3935.0,45.0,4214.0,54.8,3971.0,49.8,4955.428571428572,91.32132906096264
2024-06-07,1600,4013.0,54.8,73.22992700729927,0,54.31432274789371,2.0,2.065625,4,6,2,0,1,0,1,1,4856.0,52.8,4966.0,50.0,3036.0,51.8,3743.0,47.8,4819.285714285715,87.5941757762911
2024-06-10,1625,5292.0,50.0,105.84,1,56.077922077922075,2.0,2.0756923076923077,0,6,2,0,1,1,0,2,4013.0,54.8,3814.0,53.0,4198.0,52.8,3552.0,47.8,5030.428571428572,92.43385232615633
2024-06-11,1600,4316.0,49.0,88.08163265306122,0,55.43888166449935,2.0,2.0675,1,6,2,0,1,0,0,2,5292.0,50.0,6232.0,54.0,3750.0,50.8,3713.0,51.8,4756.714285714285,88.5301702183926
2024-06-12,1600,4768.0,49.0,97.3061224489796,0,56.80430528375734,2.0,2.096875,2,6,2,0,1,0,0,2,4316.0,49.0,4310.0,55.8,4067.0,49.8,3001.0,52.8,4822.142857142857,91.3967386583646
